Title,Company,Location,Experience,Skills,Summary,JobURL,ScrapedAt,Cluster
"Principal Product Manager - Growth, Poe (Remote)","Quora, Inc.",India,6-8 year,"Aartificial intelligence,Data Analytics,Data science techniques,Effective communication skills,Generative AI,GPT,NumPy,Pandas,Product Management,Python Programming,SQL","About Quora:Quora’s mission is to grow and share the world’s knowledge. To do so, we have two knowledge sharing products:Quora: a global knowledge sharing platform with over...",https://www.karkidi.com#,2025-05-24T12:23:41.848787,2
Machine Learning Physical Design Engineer,Google,"Bengaluru, Karnataka, India",4-6 year,"Aartificial intelligence,Algorithms,Data structuring,Design,Machine learning techniques","Minimum qualifications:Bachelor's degree in Electrical Engineering or a related field, or equivalent practical experience.4 years of experience with physical design flow such...",https://www.karkidi.com#,2025-05-24T12:23:41.849912,0
"Staff Software Engineer - Monetization, Poe (Remote)","Quora, Inc.",India,8-10 year,"Aartificial intelligence,Analytical and Problem solving,API,Data Analysis,Database,Design,Effective communication skills,GraphQL,Large Language Models - LLMs,Next.JS,Python Programming,React.js,Teamwork,TypeScript","About Quora:Quora’s mission is to grow and share the world’s knowledge. To do so, we have two knowledge sharing products:Quora: a global knowledge sharing platform with over...",https://www.karkidi.com#,2025-05-24T12:23:41.850806,1
"Staff Backend Engineer - Bot Creator Ecosystem, Poe (Remote)","Quora, Inc.",India,8-10 year,"Aartificial intelligence,API,Data science techniques,Design,Effective communication skills,Large Language Models - LLMs,Python Programming,Teamwork","About Quora:Quora’s mission is to grow and share the world’s knowledge. To do so, we have two knowledge sharing products:Quora: a global knowledge sharing platform with over...",https://www.karkidi.com#,2025-05-24T12:23:41.850806,1
"Senior Backend Engineer - Bot Creator Ecosystem, Poe (Remote)","Quora, Inc.",India,6-8 year,"Aartificial intelligence,API,Data science techniques,Design,Effective communication skills,Large Language Models - LLMs,Python Programming,Teamwork","About Quora:Quora’s mission is to grow and share the world’s knowledge. To do so, we have two knowledge sharing products:Quora: a global knowledge sharing platform with over...",https://www.karkidi.com#,2025-05-24T12:23:41.851847,1
Data Scientist Lead - AIML,JPMorgan Chase,"Bengaluru, Karnataka, India",6-8 year,"Aartificial intelligence,Data science techniques,Large Language Models - LLMs,Machine learning techniques,Natural Language Processing (NLP),Python Programming","We have an opportunity to impact your career and provide an adventure where you can push the limits of what's possible.As a Lead AI/ML Engineer within our Asset and Wealth management, you...",https://www.karkidi.com#,2025-05-24T12:23:41.852460,3
Applied AI ML Director - Machine Learning,JPMorgan Chase,"Hyderabad, Telangana, India",12-14 year,"Aartificial intelligence,AWS,Azure,Google Cloud Platform (GCP),Kubernetes-K8s,Large Language Models - LLMs,Machine learning techniques","Elevate your career as the Director of Machine Learning Engineering, where your technical expertise and visionary leadership will shape the future of AI and ML solutions.As a Director of...",https://www.karkidi.com#,2025-05-24T12:23:41.852460,3
Senior Product Designer,Observe.AI,"Bangalore, Karnataka, India",8-10 year,"Design,Leadership Skill,Machine learning techniques","Observe.AI is transforming customer service with AI agents that speak, think, and act like your best human agents—helping enterprises automate routine customer calls and workflows, support...",https://www.karkidi.com#,2025-05-24T12:23:41.853578,0
Manager - Machine Learning,Observe.AI,"Bangalore, Karnataka, India",8-10 year,"Aartificial intelligence,Large Language Models - LLMs,Machine learning techniques,Natural Language Processing (NLP)","Observe.AI is transforming customer service with AI agents that speak, think, and act like your best human agents—helping enterprises automate routine customer calls and workflows, support...",https://www.karkidi.com#,2025-05-24T12:23:41.854211,3
Data Scientist,Spotify,"Mumbai, Maharashtra, India",6-8 year,"Amazon RedShift,Apache Hadoop,Data science techniques,Google BigQuery,Google Cloud Platform (GCP),Python Programming,R Programming,SQL",We are looking for a Data Scientist to join the Business Analytics team at Spotify. You will work with the Regional Analytics Lead to evaluate and influence our growth strategy in India’s...,https://www.karkidi.com#,2025-05-24T12:23:41.854211,2
